poll_id,year,state,state_po,candidate_name,party,votes,pct,sample_size
40,1976,CONNECTICUT,CT,"LAROUCHE, LYNDON, JR.",OTHER,1789,0.13,1386355
41,1976,DELAWARE,DE,"CARTER, JIMMY",DEMOCRAT,122461,51.97,235642
42,1976,DELAWARE,DE,"FORD, GERALD",REPUBLICAN,109780,46.59,235642
44,1976,DELAWARE,DE,"ANDERSON, THOMAS J.",OTHER,645,0.27,235642
45,1976,DELAWARE,DE,"LAROUCHE, LYNDON, JR.",OTHER,135,0.06,235642
46,1976,DELAWARE,DE,"BUBAR, BENJAMIN """"BEN""""",OTHER,103,0.04,235642
48,1976,DISTRICT OF COLUMBIA,DC,"CARTER, JIMMY",DEMOCRAT,137818,81.63,168830
49,1976,DISTRICT OF COLUMBIA,DC,"FORD, GERALD",REPUBLICAN,27873,16.51,168830
50,1976,DISTRICT OF COLUMBIA,DC,OTHER,OTHER,1656,0.98,168830
52,1976,FLORIDA,FL,"CARTER, JIMMY",DEMOCRAT,1636000,51.93,3150631
53,1976,FLORIDA,FL,"FORD, GERALD",REPUBLICAN,1469531,46.64,3150631
54,1976,FLORIDA,FL,"MCCARTHY, EUGENE """"GENE""""",OTHER,23643,0.75,3150631
55,1976,FLORIDA,FL,"ANDERSON, THOMAS J.",OTHER,21325,0.68,3150631
56,1976,GEORGIA,GA,"CARTER, JIMMY",DEMOCRAT,979409,66.94,1463152
57,1976,GEORGIA,GA,"FORD, GERALD",REPUBLICAN,483743,33.06,1463152
58,1976,HAWAII,HI,"CARTER, JIMMY",DEMOCRAT,147375,50.59,291301
59,1976,HAWAII,HI,"FORD, GERALD",REPUBLICAN,140003,48.06,291301
60,1976,HAWAII,HI,"MACBRIDE, ROGER",LIBERTARIAN,3923,1.35,291301
61,1976,IDAHO,ID,"FORD, GERALD",REPUBLICAN,204151,59.88,340932
62,1976,IDAHO,ID,"CARTER, JIMMY",DEMOCRAT,126549,37.12,340932
63,1976,IDAHO,ID,"MADDOX, LESTER",OTHER,5935,1.74,340932
64,1976,IDAHO,ID,"MACBRIDE, ROGER",LIBERTARIAN,3558,1.04,340932
65,1976,IDAHO,ID,"LAROUCHE, LYNDON, JR.",OTHER,739,0.22,340932
66,1976,ILLINOIS,IL,"FORD, GERALD",REPUBLICAN,2364269,50.08,4721282
67,1976,ILLINOIS,IL,"CARTER, JIMMY",DEMOCRAT,2271295,48.11,4721282
68,1976,ILLINOIS,IL,"MCCARTHY, EUGENE """"GENE""""",OTHER,55939,1.18,4721282
69,1976,ILLINOIS,IL,"HALL, GUS",OTHER,9250,0.2,4721282
70,1976,ILLINOIS,IL,"MACBRIDE, ROGER",LIBERTARIAN,8057,0.17,4721282
71,1976,ILLINOIS,IL,"CAMEJO, PETER",OTHER,3615,0.08,4721282
72,1976,ILLINOIS,IL,"JULIUS """"JULES"""", LEVIN",OTHER,2422,0.05,4721282
73,1976,ILLINOIS,IL,"LAROUCHE, LYNDON, JR.",OTHER,2018,0.04,4721282
74,1976,INDIANA,IN,"FORD, GERALD",REPUBLICAN,1183958,53.32,2220362
75,1976,INDIANA,IN,"CARTER, JIMMY",DEMOCRAT,1014714,45.7,2220362
76,1976,INDIANA,IN,"ANDERSON, THOMAS J.",OTHER,14048,0.63,2220362
77,1976,INDIANA,IN,"CAMEJO, PETER",OTHER,5695,0.26,2220362
78,1976,INDIANA,IN,"LAROUCHE, LYNDON, JR.",OTHER,1947,0.09,2220362
79,1976,IOWA,IA,"FORD, GERALD",REPUBLICAN,632864,49.47,1279303
80,1976,IOWA,IA,"CARTER, JIMMY",DEMOCRAT,619931,48.46,1279303
81,1976,IOWA,IA,"MCCARTHY, EUGENE """"GENE""""",OTHER,20057,1.57,1279303
82,1976,IOWA,IA,"ANDERSON, THOMAS J.",OTHER,3041,0.24,1279303
83,1976,IOWA,IA,"MACBRIDE, ROGER",LIBERTARIAN,1454,0.11,1279303
84,1976,IOWA,IA,"HALL, GUS",OTHER,551,0.04,1279303
85,1976,IOWA,IA,SCATTERING,OTHER,509,0.04,1279303
86,1976,IOWA,IA,"CAMEJO, PETER",OTHER,262,0.02,1279303
87,1976,IOWA,IA,"LAROUCHE, LYNDON, JR.",OTHER,241,0.02,1279303
88,1976,IOWA,IA,"ZEIDLER, FRANK",OTHER,233,0.02,1279303
89,1976,IOWA,IA,"JULIUS """"JULES"""", LEVIN",OTHER,160,0.01,1279303
90,1976,KANSAS,KS,"FORD, GERALD",REPUBLICAN,502752,52.49,957845
91,1976,KANSAS,KS,"CARTER, JIMMY",DEMOCRAT,430421,44.94,957845
92,1976,KANSAS,KS,"MCCARTHY, EUGENE """"GENE""""",OTHER,13185,1.38,957845
93,1976,KANSAS,KS,"ANDERSON, THOMAS J.",OTHER,4724,0.49,957845
94,1976,KANSAS,KS,"MACBRIDE, ROGER",OTHER,3242,0.34,957845
95,1976,KANSAS,KS,"MADDOX, LESTER",OTHER,2118,0.22,957845
96,1976,KANSAS,KS,"BUBAR, BENJAMIN """"BEN""""",OTHER,1403,0.15,957845
97,1976,KENTUCKY,KY,"CARTER, JIMMY",DEMOCRAT,615717,52.75,1167142
98,1976,KENTUCKY,KY,"FORD, GERALD",REPUBLICAN,531852,45.57,1167142
99,1976,KENTUCKY,KY,"ANDERSON, THOMAS J.",OTHER,8308,0.71,1167142
100,1976,KENTUCKY,KY,"MCCARTHY, EUGENE """"GENE""""",OTHER,6837,0.59,1167142
101,1976,KENTUCKY,KY,"MADDOX, LESTER",OTHER,2328,0.2,1167142
102,1976,KENTUCKY,KY,"MACBRIDE, ROGER",LIBERTARIAN,814,0.07,1167142
